title,channel,publishedAt,duration,search_term,Event_Name,event_dates,Location,Source,category,description
Atlanta Career Fair,,1-May-25,,,atlanta career fair,5/1/25 0:00,hilton garden inn atlanta perimeter center,Eventbrite,professional networking,a career fair connecting job seekers with employers across various industries.
Women in Business and Tech Virtual Fair,,23-Apr-25,,,women in business and tech virtual fair,4/23/25 0:00,online,Eventbrite,professional networking,"virtual fair for women seeking full-time, intern, and co-op positions in business and tech sectors."
SweetWater 420 Fest,,"April 18-20, 2025",,,sweetwater 420 fest,4/18/20 20:25,"atlanta, ga",Eventbrite,music festival,"annual festival featuring big-name bands, art, and environmental workshops."
Atlanta Jazz Festival,,25-May,,,shaky knees music festival,9/19/21 20:25,"piedmont park, atlanta, ga",Eventbrite,music festival,"one of the largest free jazz festivals in the country, featuring performances throughout may."
Panda Fest,,"Until June 1, 2025",,,georgia vegfest,8/2/03 20:25,"atlantic station, atlanta, ga",Eventbrite,food & culture festival,one of the largest outdoor asian food festivals in the u.s.
Atlanta Film Festival,,"April 24 – May 4, 2025",,,virginia highland summerfest,6/14/25 0:00,"various locations, atlanta, ga",Eventbrite,film festival,annual event showcasing a diverse range of films including indie and international selections.
Shaky Knees Music Festival,,"Sept 19-21, 2025",,,404 day 2025 celebration!,4/4/25 0:00,"piedmont park, atlanta, ga",Eventbrite,music festival,rock-focused festival featuring 60+ bands on multiple stages.
Georgia VegFest,,"Aug 2-3, 2025",,,tech elevator atlanta open house,4/10/25 0:00,"cobb county civic center, marietta, ga",Eventbrite,food festival,vegan food festival with cooking demos and plant-based vendors.
Virginia Highland Summerfest,,14-Jun-25,,,auc career and internship expo,4/15/25 0:00,"virginia-highland, atlanta, ga",Eventbrite,community festival,"neighborhood festival with artists, live music, and family-friendly events."
404 Day 2025 Celebration!,,4-Apr-25,,,general assembly: atlanta tech meetup,4/16/25 0:00,"piedmont park, atlanta, ga",Eventbrite,cultural festival,"celebration of atlanta's culture with music, art, and community engagement."
Tech Elevator Atlanta Open House,,10-Apr-25,,,invest atlanta: young professionals mixer,4/30/25 0:00,"tech elevator, atlanta, ga",Eventbrite,tech networking,open house and networking opportunity for aspiring coders and tech enthusiasts.
Lil Baby @ONEMusicfest #atlanta,ONE Musicfest,2024-07-19T02:00:03Z,long,#musicfestival,,,,YouTube,music festival,
Kodak Black Performs OneMusicFest🔥 #kodakblack #musicfestival #music #atlanta #miami,FleeDaDon,2023-12-28T05:55:24Z,long,#musicfestival,,,,YouTube,music festival,
Drone video | ONE Musicfest prep underway in Atlanta,11Alive,2023-10-28T00:20:31Z,long,#musicfestival,,,,YouTube,music festival,
SMINO Vibin&#39; in Atlanta at OneMusicFest,ONE Musicfest,2024-07-10T04:31:43Z,long,#musicfestival,,,,YouTube,music festival,
Atlanta Pride 2024 🏳️‍🌈❤️ #livemusic #pride #atlanta #atlpride #musicfestival #pop #electropop,Naomi.,2024-10-21T21:11:45Z,long,#musicfestival,,,,YouTube,music festival,
GANGSTA GRILLZ!!!! LIVE @ONEMusicfest  #atlanta #musicfestival,ONE Musicfest,2024-07-27T05:02:55Z,long,#musicfestival,,,,YouTube,music festival,
Them Dirty Roses Live at Oysterfest,Live Music Junkiez,2023-03-10T21:25:00Z,long,#musicfestival,,,,YouTube,music festival,
Fally Ipupa - Amore (Live) In ATL #fallyipupa #rumba #afrobeat #africa #atlanta #musicfestival #love,VYBES R US,2024-01-14T09:11:09Z,long,#musicfestival,,,,YouTube,music festival,
Yonder Mountain String Band Live at Candler Park Music Festival #atlanta #musicfestival,Live Music Junkiez,2023-02-26T15:00:04Z,long,#musicfestival,,,,YouTube,music festival,
Full lineup released for One Musicfest 2023 in Atlanta,11Alive,2023-07-12T21:42:42Z,long,#musicfestival,,,,YouTube,music festival,